Numero da Venda;Data da Venda;Data do Envio;ID Canal;ID Loja;ID Produto;ID Promocao;ID Cliente;Quantidade Vendida;Quantidade Devolvida
1;01/01/2017;02/01/2017;1;86;981;2;6825;9;1
2;01/01/2017;06/01/2017;5;308;1586;2;18469;9;1
3;01/01/2017;01/01/2017;0;294;1444;5;19730;13;1
4;01/01/2017;01/01/2017;0;251;1468;5;29326;6;1
5;01/01/2017;07/01/2017;6;94;1106;2;22617;4;1
6;01/01/2017;01/01/2017;0;157;1046;2;7910;4;1
7;01/01/2017;09/01/2017;8;10;1261;2;11720;4;1
8;01/01/2017;05/01/2017;4;303;958;10;26558;4;1
9;01/01/2017;05/01/2017;4;213;1509;10;32396;8;1
10;01/01/2017;01/01/2017;0;199;1318;2;31290;8;1
11;01/01/2017;08/01/2017;7;257;900;5;30488;6;1
12;01/01/2017;04/01/2017;3;304;597;10;18561;4;1
13;01/01/2017;01/01/2017;0;13;167;2;25632;4;1
14;01/01/2017;01/01/2017;0;199;632;2;30401;8;1
15;01/01/2017;01/01/2017;0;207;1602;10;36839;8;1
16;01/01/2017;06/01/2017;5;309;599;10;27645;16;1
17;01/01/2017;01/01/2017;0;225;1383;10;7991;4;1
18;01/01/2017;09/01/2017;8;204;882;10;35762;4;1
19;01/01/2017;02/01/2017;1;211;1402;10;24240;8;1
20;01/01/2017;02/01/2017;1;208;1296;10;13399;8;1
21;01/01/2017;05/01/2017;4;207;39;10;27222;8;1
22;01/01/2017;02/01/2017;1;132;899;2;9899;4;1
23;01/01/2017;08/01/2017;7;309;117;10;13178;4;1
24;01/01/2017;02/01/2017;1;200;701;2;23285;36;1
25;01/01/2017;02/01/2017;1;309;2517;10;27220;80;1
26;01/01/2017;05/01/2017;4;199;348;2;23613;27;1
27;01/01/2017;02/01/2017;1;308;616;2;27751;27;1
28;01/01/2017;01/01/2017;0;309;515;10;30742;8;1
29;01/01/2017;08/01/2017;7;309;454;10;10597;24;1
30;01/01/2017;01/01/2017;0;310;384;5;18835;13;1
31;01/01/2017;05/01/2017;4;298;1339;5;14236;13;1
32;01/01/2017;01/01/2017;0;41;1117;2;10188;9;1
33;01/01/2017;08/01/2017;7;291;1418;2;32657;9;1
34;01/01/2017;03/01/2017;2;126;1365;2;12781;9;1
35;01/01/2017;09/01/2017;8;34;1087;2;24767;9;0
36;01/01/2017;02/01/2017;1;163;301;2;11620;9;0
37;01/01/2017;02/01/2017;1;138;967;2;10984;9;0
38;01/01/2017;02/01/2017;1;115;1299;2;35373;9;0
39;01/01/2017;01/01/2017;0;198;1391;2;24513;9;0
40;01/01/2017;07/01/2017;6;167;1012;2;32258;9;0
41;01/01/2017;05/01/2017;4;127;660;2;30065;9;0
42;01/01/2017;01/01/2017;0;147;587;2;5852;9;0
977738;30/12/2017;08/01/2018;9;253;1302;5;20187;26;0
977739;30/12/2017;30/12/2017;0;72;1150;4;11355;26;0
977740;30/12/2017;30/12/2017;0;81;1232;4;13538;26;0
977741;30/12/2017;31/12/2017;1;75;1194;4;14909;26;0
977742;30/12/2017;30/12/2017;0;70;1218;4;20065;26;0
977743;30/12/2017;30/12/2017;0;308;1303;4;13463;26;0
977744;30/12/2017;01/01/2018;2;308;225;4;21119;26;0
977745;30/12/2017;31/12/2017;1;308;712;4;16550;26;0
977746;30/12/2017;30/12/2017;0;308;183;4;30786;26;0
977747;30/12/2017;06/01/2018;7;308;651;4;32314;26;0
977748;30/12/2017;30/12/2017;0;199;1006;4;12321;26;0
977749;30/12/2017;03/01/2018;4;199;1169;4;17538;26;0
977750;30/12/2017;05/01/2018;6;199;1192;4;27439;26;0
977751;30/12/2017;06/01/2018;7;199;535;4;3888;26;0
977752;30/12/2017;30/12/2017;0;199;543;4;9810;26;0
977753;30/12/2017;02/01/2018;3;199;980;4;25695;26;0
977754;30/12/2017;06/01/2018;7;199;193;4;13375;26;0
977755;30/12/2017;31/12/2017;1;199;731;4;33698;26;0
977756;30/12/2017;04/01/2018;5;199;1535;4;25250;26;0
977757;30/12/2017;03/01/2018;4;199;490;4;29634;26;0
977758;30/12/2017;30/12/2017;0;199;1112;4;19319;26;0
977759;30/12/2017;30/12/2017;0;199;203;4;17851;26;0
977760;30/12/2017;31/12/2017;1;200;1079;4;16428;26;0
977761;30/12/2017;04/01/2018;5;200;985;4;20787;26;0
977762;30/12/2017;31/12/2017;1;200;1375;4;12719;26;0
977763;30/12/2017;08/01/2018;9;200;959;4;32794;26;0
977764;30/12/2017;31/12/2017;1;200;1015;4;29328;26;0
977765;30/12/2017;30/12/2017;0;200;193;4;10872;26;0
977766;30/12/2017;03/01/2018;4;200;993;4;35014;26;0
977767;30/12/2017;03/01/2018;4;200;247;4;25003;26;0
977768;30/12/2017;30/12/2017;0;200;554;4;19509;26;0
977769;30/12/2017;30/12/2017;0;310;247;5;22270;26;0
977770;30/12/2017;30/12/2017;0;310;1519;5;33120;26;0
977771;30/12/2017;30/12/2017;0;310;155;5;12068;26;0
977772;30/12/2017;30/12/2017;0;310;1432;5;2727;26;0
977773;30/12/2017;06/01/2018;7;307;168;5;1799;26;0
977774;30/12/2017;30/12/2017;0;307;979;5;26946;26;0
977775;30/12/2017;02/01/2018;3;307;1136;5;10813;26;0
977776;30/12/2017;30/12/2017;0;307;1056;5;8902;26;0
977777;30/12/2017;30/12/2017;0;307;1450;5;21369;26;0
977778;30/12/2017;30/12/2017;0;307;1105;5;30588;26;0
977779;30/12/2017;30/12/2017;0;306;1542;10;14553;24;0
977780;30/12/2017;02/01/2018;3;306;1039;10;23045;24;0
977781;30/12/2017;07/01/2018;8;306;411;10;18802;24;0
977782;30/12/2017;30/12/2017;0;306;980;10;8006;24;0
977783;30/12/2017;30/12/2017;0;306;421;10;28452;24;0
977784;30/12/2017;08/01/2018;9;231;436;10;20541;24;0
977785;30/12/2017;02/01/2018;3;206;427;10;17493;24;0
977786;30/12/2017;04/01/2018;5;246;421;10;14606;24;0
977787;30/12/2017;01/01/2018;2;309;1203;10;5768;24;0
977788;30/12/2017;02/01/2018;3;306;550;10;35684;4;0
977789;30/12/2017;02/01/2018;3;306;512;10;34268;4;0
977790;30/12/2017;01/01/2018;2;306;826;10;19580;4;0
977791;30/12/2017;01/01/2018;2;306;845;10;17214;4;0
977792;30/12/2017;31/12/2017;1;306;95;10;13881;4;0
977793;30/12/2017;30/12/2017;0;306;279;10;23876;4;0
977794;30/12/2017;04/01/2018;5;306;1658;10;34215;4;0
977795;30/12/2017;07/01/2018;8;306;909;10;4066;4;0
977796;30/12/2017;31/12/2017;1;306;527;10;7005;4;0
977797;30/12/2017;30/12/2017;0;306;808;10;15477;4;0
977798;30/12/2017;02/01/2018;3;309;536;10;15794;4;0
977799;30/12/2017;30/12/2017;0;309;1058;10;16406;4;0
977800;30/12/2017;30/12/2017;0;309;1317;10;30655;4;0
977801;30/12/2017;30/12/2017;0;309;1086;10;24021;4;0
977802;30/12/2017;30/12/2017;0;309;212;10;36393;4;0
977803;30/12/2017;30/12/2017;0;309;501;10;6491;4;0
977804;30/12/2017;03/01/2018;4;309;300;10;23678;4;0
977805;30/12/2017;30/12/2017;0;309;1510;10;5873;4;0
977806;30/12/2017;30/12/2017;0;309;48;10;6932;4;0
977807;30/12/2017;03/01/2018;4;309;1243;10;5348;4;0
977808;30/12/2017;30/12/2017;0;245;832;10;24113;4;0
977809;30/12/2017;07/01/2018;8;207;988;10;23470;4;0
977810;30/12/2017;04/01/2018;5;220;931;10;33022;4;0
977811;30/12/2017;30/12/2017;0;236;5;10;5584;4;0
977812;30/12/2017;03/01/2018;4;206;94;10;24560;4;0
977813;30/12/2017;03/01/2018;4;240;1030;10;26284;4;0
977814;30/12/2017;03/01/2018;4;236;648;10;5681;4;0
977815;30/12/2017;31/12/2017;1;248;817;10;27380;4;0
977816;30/12/2017;06/01/2018;7;303;526;10;27660;4;0
977817;30/12/2017;30/12/2017;0;224;942;10;11920;4;0
977818;30/12/2017;30/12/2017;0;246;898;10;17920;4;0
977819;30/12/2017;30/12/2017;0;250;1003;10;11979;4;0
977820;30/12/2017;30/12/2017;0;211;178;10;1631;4;0
977821;30/12/2017;31/12/2017;1;232;1584;10;7677;4;0
977822;30/12/2017;30/12/2017;0;249;1016;10;16983;4;0
977823;30/12/2017;30/12/2017;0;234;315;10;19893;4;0
977824;30/12/2017;01/01/2018;2;205;499;10;20144;4;0
977825;30/12/2017;30/12/2017;0;235;1269;10;15586;4;0
977826;30/12/2017;31/12/2017;1;217;14;10;18536;4;0
977827;30/12/2017;05/01/2018;6;232;766;10;9186;4;0
977828;30/12/2017;30/12/2017;0;206;9;10;21976;4;0
977829;30/12/2017;08/01/2018;9;209;1377;10;13231;4;0
977830;30/12/2017;30/12/2017;0;203;909;10;16022;4;0
977831;30/12/2017;30/12/2017;0;219;1;10;9568;4;0
977832;30/12/2017;02/01/2018;3;237;931;10;33112;4;0
977833;30/12/2017;31/12/2017;1;205;960;10;17198;4;0
977834;30/12/2017;02/01/2018;3;230;808;10;12974;4;0
977835;30/12/2017;05/01/2018;6;209;1282;10;17582;4;0
977836;30/12/2017;30/12/2017;0;241;1468;10;33787;4;0
977837;30/12/2017;30/12/2017;0;224;132;10;20704;4;0
977838;30/12/2017;04/01/2018;5;231;1286;10;24938;4;0
977839;30/12/2017;30/12/2017;0;238;673;10;19818;4;0
977840;30/12/2017;01/01/2018;2;247;848;10;19773;4;0
977841;30/12/2017;30/12/2017;0;219;960;10;19709;4;0
977842;30/12/2017;01/01/2018;2;238;782;10;19181;4;0
977843;30/12/2017;30/12/2017;0;221;931;10;30982;4;0
977844;30/12/2017;30/12/2017;0;304;501;10;28178;4;0
977845;30/12/2017;02/01/2018;3;215;620;10;20009;4;0
977846;30/12/2017;30/12/2017;0;244;843;10;29592;4;0
977847;30/12/2017;03/01/2018;4;233;130;10;7880;4;0
977848;30/12/2017;30/12/2017;0;234;97;10;22144;4;0
977849;30/12/2017;02/01/2018;3;236;1028;10;16318;4;0
977850;30/12/2017;04/01/2018;5;213;958;10;24799;4;0
977851;30/12/2017;05/01/2018;6;309;424;10;22025;12;0
977852;30/12/2017;30/12/2017;0;4;635;4;17417;13;0
977853;30/12/2017;30/12/2017;0;97;719;4;34419;13;0
977854;30/12/2017;30/12/2017;0;152;257;4;7468;13;0
977855;30/12/2017;30/12/2017;0;163;134;4;11289;13;0
977856;30/12/2017;30/12/2017;0;196;1497;4;5890;13;0
977857;30/12/2017;30/12/2017;0;112;856;4;10562;13;0
977858;30/12/2017;03/01/2018;4;108;1477;4;10696;13;0
977859;30/12/2017;30/12/2017;0;158;728;4;23322;13;0
977860;30/12/2017;30/12/2017;0;186;259;4;21232;13;0
977861;30/12/2017;30/12/2017;0;175;1010;4;22983;13;0
977862;30/12/2017;03/01/2018;4;63;653;4;10807;13;0
977863;30/12/2017;03/01/2018;4;26;1100;4;31843;13;0
977864;30/12/2017;03/01/2018;4;82;1381;4;20413;13;0
977865;30/12/2017;04/01/2018;5;125;691;4;24455;13;0
977866;30/12/2017;30/12/2017;0;87;1531;4;29020;13;0
977867;30/12/2017;04/01/2018;5;10;855;4;4020;13;0
977868;30/12/2017;30/12/2017;0;34;1204;4;15543;13;0
977869;30/12/2017;30/12/2017;0;144;1518;4;32599;13;0
977870;30/12/2017;01/01/2018;2;3;1205;4;8348;13;0
977871;30/12/2017;31/12/2017;1;30;308;4;26379;13;0
977872;30/12/2017;30/12/2017;0;171;1393;4;37885;13;0
977873;30/12/2017;04/01/2018;5;196;1396;4;31277;13;0
977874;30/12/2017;30/12/2017;0;104;392;4;17073;13;0
977875;30/12/2017;02/01/2018;3;118;206;4;12419;13;0
977876;30/12/2017;01/01/2018;2;82;1446;4;33273;13;0
977877;30/12/2017;02/01/2018;3;163;651;4;27823;13;0
977878;30/12/2017;31/12/2017;1;94;1605;4;8196;13;0
977879;30/12/2017;30/12/2017;0;180;716;4;9698;13;0
977880;30/12/2017;30/12/2017;0;75;1590;4;6175;13;0
977881;30/12/2017;07/01/2018;8;185;750;4;26431;13;0
977882;30/12/2017;30/12/2017;0;122;934;4;36067;13;0
977883;30/12/2017;05/01/2018;6;79;1112;4;27176;13;0
977884;30/12/2017;02/01/2018;3;47;1125;4;19921;13;0
977885;30/12/2017;01/01/2018;2;47;1633;4;14563;13;0
977886;30/12/2017;05/01/2018;6;80;292;4;34346;13;0
977887;30/12/2017;31/12/2017;1;289;1523;4;12971;13;0
977888;30/12/2017;30/12/2017;0;40;310;4;19374;13;0
977889;30/12/2017;02/01/2018;3;188;1402;4;30675;13;0
977890;30/12/2017;30/12/2017;0;84;1596;4;37252;13;0
977891;30/12/2017;05/01/2018;6;4;1650;4;4282;13;0
977892;30/12/2017;30/12/2017;0;131;614;4;3753;13;0
977893;30/12/2017;30/12/2017;0;144;1147;4;35591;13;0
977894;30/12/2017;05/01/2018;6;44;854;4;23765;13;0
977895;30/12/2017;30/12/2017;0;149;353;4;6622;13;0
977896;30/12/2017;30/12/2017;0;125;1121;4;6092;13;0
977897;30/12/2017;06/01/2018;7;5;1121;4;15367;13;0
977898;30/12/2017;31/12/2017;1;44;272;4;34790;13;0
977899;30/12/2017;01/01/2018;2;88;1497;4;24670;13;0
977900;30/12/2017;02/01/2018;3;2;1125;4;26198;13;0
977901;30/12/2017;01/01/2018;2;28;341;4;17651;13;0
977902;30/12/2017;30/12/2017;0;23;1638;4;3808;13;0
977903;30/12/2017;01/01/2018;2;267;1210;5;7910;13;0
977904;30/12/2017;30/12/2017;0;298;317;5;13095;13;0
977905;30/12/2017;02/01/2018;3;268;1037;5;6694;13;0
977906;30/12/2017;08/01/2018;9;292;1503;5;34796;13;0
977907;30/12/2017;30/12/2017;0;293;681;5;25809;13;0
977908;30/12/2017;30/12/2017;0;260;1329;5;6532;13;0
